MovieID;Title;KoreanTitle;Plot;ReleaseYear;RunningTime;GradeID;GradeInKoreaID;Poster;ReleaseDateInKorea;BoxOfficeWWGross;BoxOfficeUSGross;Budget
5670;"Sun Come Up";;"Sun Come Up tells the story of some of the world‘s first environmental refugees, the Carteret Islanders. The film follows relocation leader Ursula Rakova and a group of young families as they search for new homes in war torn Bougainville, an autonomous region of Papua New Guinea. ";2010;38;6;NULL;SunComeUp.jpg;1900-01-01;0;0;0
5671;"The Warriors of Qiugang";;"Villagers in a remote district of central China take on a chemical company that is poisoning their water and air. For five years they fight to transform their environment and as they do, they find themselves transformed as well. ";2010;39;6;NULL;TheWarriorsofQiugang.jpg;1900-01-01;0;0;0
5672;"Inside Job";"인사이드 잡";"Takes a closer look at what brought about the 2008 financial meltdown.";2010;105;6;NULL;InsideJob.jpg;2011-05-19;7871522;4312735;2000000
5673;"Exit Through the Gift Shop";"선물 가게를 지나야 출구";"The story of how an eccentric French shop-keeper and amateur film-maker attempted to locate and befriend Banksy, only to have the artist turn the camera back on its owner. The film contains footage of Banksy, Shephard Fairey, Invader and many of the world‘s most infamous graffiti artists at work. ";2010;87;6;NULL;ExitThroughtheGiftShop.jpg;2011-08-18;5308618;3291250;0
5674;GasLand;개스랜드;"An exploration of the fracking petroleum extraction industry and the serious environmental consequences involved. ";2010;107;6;NULL;GasLand.jpg;1900-01-01;49428;30846;0
5675;Restrepo;레스트레포;"A year with one platoon in the deadliest valley in Afghanistan.";2010;93;6;NULL;Restrepo.jpg;1900-01-01;1436391;1330894;0
5676;"Waste Land";"웨이스트 랜드";"On the outskirts of Rio de Janeiro is Jardim Gramacho, the world‘s largest landfill, where men and women sift through garbage for a living. Artist Vik Muniz produces portraits of the workers and learns about their lives. ";2010;99;10;NULL;WasteLand.jpg;2014-04-03;276406;187716;0
5677;"In a Better World";인어베러월드;"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait. ";2010;113;1;NULL;InaBetterWorld.jpg;2011-06-23;9629826;1008098;0
5678;Dogtooth;송곳니;"Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out. ";2009;94;1;NULL;Dogtooth.jpg;2012-01-05;384147;110248;0
5679;Incendies;"그을린 사랑";"Twins journey to the Middle East to discover their family history, and fulfill their mother‘s last wishes. ";2010;131;1;NULL;Incendies.jpg;2011-07-21;3548768;2071334;0
